Nome Prodotto,Categoria,Prezzo,Ingredienti,Allergeni,Tag Dietetici
Margherita,Le Top Ten,€6.00,"Pomodoro, mozzarella fiordilatte, basilico","Glutine, Lattosio","vegetarian, vegan"
Caronte,Le Top Ten,€8.00,"Pomodoro, mozzarella fiordilatte, spianata calabra","Glutine, Lattosio",-
Insuperabile,Le Top Ten,€8.00,"Pomodoro, mozzarella fiordilatte, prosciutto cotto insuperabile Barabino fuori cottura","Glutine, Lattosio",-
Ai formaggi,Le Top Ten,€9.50,"Mozzarella fiordilatte, gorgonzola DOP, squacquerone, toma piemontese","Glutine, Lattosio",vegetarian
La Regina,Le Top Ten,€9.00,"Pomodoro, bufala campana DOP, basilico, olio e.v.o.","Glutine, Lattosio",vegetarian
La Tonnara,Le Top Ten,€10.00,"Pomodoro, mozzarella fiordilatte, filetti di tonno sott'olio, cipolla rossa di Tropea","Glutine, Lattosio, Pesce",-
Verace,Le Top Ten,€10.00,"Fior di latte, provola affumicata, salsiccia, friarielli","Glutine, Lattosio",-
Raffinata,Le Top Ten,€13.00,"Pomodoro, mozzarella fiordilatte, in uscita prosciutto crudo brado Barabino, stracciatella di burrata, pomodorini datterini e rucola","Glutine, Lattosio",-
Stracciata,Le Top Ten,€9.00,"Pomodoro, stracciatella di burrata DOP, basilico, olio E.V.O.","Glutine, Lattosio",vegetarian
Vegana,Le Top Ten,€9.00,"Crema di patate, carpaccio di verdure, intingolo d’aglio, olive taggiasche, origano",Glutine,"vegan, vegetarian"
L'anciova,Le Top Ten,€10.00,"Pomodoro, bufala campana DOP, acciughe, origano","Glutine, Lattosio",-
Raffaello,Pizzart,€16.00,"Fior di latte, funghi porcini, prosciutto crudo (fuori cottura), burrata, polvere di porcini, basilico","Glutine, Lattosio",-
Bosch,Pizzart,€14.00,"Fior di latte, funghi porcini, patate al forno sottili, salsiccia, salsa all'aglio e prezzemolo, prezzemolo","Glutine, Lattosio",-
Artemisia,Pizzart,€15.00,"Fior di latte, scamorza affumicata, porchetta, patate al forno, rosmarino, maionese al tartufo","Glutine, Lattosio",-
Monet,Pizzart,€16.00,"Pomodoro, crema di pomodori secchi, cipolle di Tropea, burrata, acciughe del Cantabrico, olive, intingolo d'aglio, origano, basilico","Glutine, Lattosio, Pesce",-
Picasso,Pizzart,€14.00,"Mozzarella fiordilatte, burrata, mortadella fuori cottura, crema di pistacchio, granella di pistacchio, basilico","Glutine, Lattosio, Frutta a guscio",-
Renoir,Pizzart,€13.00,"Bufala, 'nduja calabrese, peperoni, salame piccante, origano, pomodori datterini, basilico","Glutine, Lattosio",-
Chagall,Pizzart,€14.00,"Fiordilatte, burrata, pancetta arrostita aromatizzata, uovo all’occhio di bue, crumble croccante di pecorino, pepe","Glutine, Lattosio, Uova",-
Cimabue,Pizzart,€13.00,"Pomodoro, funghi porcini, stracciatella di burrata, prosciutto cotto fuori cottura","Glutine, Lattosio",-
Van Gogh,Pizzart,€14.00,"Fiordilatte, salsiccia marinata nel vino Porto, olive, pinoli, pesto","Glutine, Lattosio, Frutta a guscio",-
Dalì,Pizzart,€13.00,"Fiordilatte, toma piemontese, gorgonzola, pere caramellate, noci","Glutine, Lattosio",vegetarian
Michelangelo,Pizzart,€13.00,"Crema di patate, fagiolini, stracciatella di burrata, pesto.","Glutine, Lattosio, Frutta a guscio",vegetarian
Da Vinci,Pizzart,€15.00,"Fiordilatte, gamberetti*, rucola, emulsione agli agrumi, glassa di aceto balsamico","Glutine, Lattosio, Crostacei",-
